linea,anio,mes,viajeros,nombre_linea,fecha,viajeros_n1,t
A3247,2021,1,9688.0,BILBAO-Aireportua/Aeropuerto,2021-01-01,66058.0,1
A3247,2021,2,6794.0,BILBAO-Aireportua/Aeropuerto,2021-02-01,68841.0,2
A3247,2021,3,8881.0,BILBAO-Aireportua/Aeropuerto,2021-03-01,30757.0,3
A3247,2021,4,10274.0,BILBAO-Aireportua/Aeropuerto,2021-04-01,744.0,4
A3247,2021,5,16918.0,BILBAO-Aireportua/Aeropuerto,2021-05-01,1046.0,5
A3247,2021,6,33729.0,BILBAO-Aireportua/Aeropuerto,2021-06-01,2954.0,6
A3247,2021,7,54776.0,BILBAO-Aireportua/Aeropuerto,2021-07-01,23752.0,7
A3247,2021,8,67922.0,BILBAO-Aireportua/Aeropuerto,2021-08-01,32715.0,8
A3247,2021,9,56509.0,BILBAO-Aireportua/Aeropuerto,2021-09-01,27256.0,9
A3247,2021,10,55357.0,BILBAO-Aireportua/Aeropuerto,2021-10-01,22734.0,10
A3247,2021,11,43617.0,BILBAO-Aireportua/Aeropuerto,2021-11-01,7732.0,11
A3247,2021,12,45061.0,BILBAO-Aireportua/Aeropuerto,2021-12-01,11829.0,12
A3247,2022,1,31987.0,BILBAO-Aireportua/Aeropuerto,2022-01-01,9688.0,13
A3247,2022,2,35521.0,BILBAO-Aireportua/Aeropuerto,2022-02-01,6794.0,14
A3247,2022,3,47725.0,BILBAO-Aireportua/Aeropuerto,2022-03-01,8881.0,15
A3247,2022,4,75221.0,BILBAO-Aireportua/Aeropuerto,2022-04-01,10274.0,16
A3247,2022,5,77753.0,BILBAO-Aireportua/Aeropuerto,2022-05-01,16918.0,17
A3247,2022,6,86487.0,BILBAO-Aireportua/Aeropuerto,2022-06-01,33729.0,18
A3247,2022,7,99664.0,BILBAO-Aireportua/Aeropuerto,2022-07-01,54776.0,19
A3247,2022,8,110187.0,BILBAO-Aireportua/Aeropuerto,2022-08-01,67922.0,20
A3247,2022,9,97525.0,BILBAO-Aireportua/Aeropuerto,2022-09-01,56509.0,21
A3247,2022,10,93950.0,BILBAO-Aireportua/Aeropuerto,2022-10-01,55357.0,22
A3247,2022,11,69492.0,BILBAO-Aireportua/Aeropuerto,2022-11-01,43617.0,23
A3247,2022,12,76518.0,BILBAO-Aireportua/Aeropuerto,2022-12-01,45061.0,24
A3247,2023,1,66951.0,BILBAO-Aireportua/Aeropuerto,2023-01-01,31987.0,25
A3247,2023,2,65450.0,BILBAO-Aireportua/Aeropuerto,2023-02-01,35521.0,26
A3247,2023,3,76830.0,BILBAO-Aireportua/Aeropuerto,2023-03-01,47725.0,27
A3247,2023,4,98315.0,BILBAO-Aireportua/Aeropuerto,2023-04-01,75221.0,28
A3247,2023,5,108967.0,BILBAO-Aireportua/Aeropuerto,2023-05-01,77753.0,29
A3247,2023,6,113209.0,BILBAO-Aireportua/Aeropuerto,2023-06-01,86487.0,30
A3247,2023,7,133743.0,BILBAO-Aireportua/Aeropuerto,2023-07-01,99664.0,31
A3247,2023,8,145608.0,BILBAO-Aireportua/Aeropuerto,2023-08-01,110187.0,32
A3247,2023,9,128236.0,BILBAO-Aireportua/Aeropuerto,2023-09-01,97525.0,33
A3247,2023,10,123379.0,BILBAO-Aireportua/Aeropuerto,2023-10-01,93950.0,34
A3247,2023,11,89510.0,BILBAO-Aireportua/Aeropuerto,2023-11-01,69492.0,35
A3247,2023,12,97074.0,BILBAO-Aireportua/Aeropuerto,2023-12-01,76518.0,36
A3247,2024,1,81941.0,BILBAO-Aireportua/Aeropuerto,2024-01-01,66951.0,37
A3247,2024,2,83167.0,BILBAO-Aireportua/Aeropuerto,2024-02-01,65450.0,38
A3247,2024,3,99078.0,BILBAO-Aireportua/Aeropuerto,2024-03-01,76830.0,39
A3247,2024,4,113147.0,BILBAO-Aireportua/Aeropuerto,2024-04-01,98315.0,40
A3247,2024,5,119611.0,BILBAO-Aireportua/Aeropuerto,2024-05-01,108967.0,41
A3247,2024,6,124934.0,BILBAO-Aireportua/Aeropuerto,2024-06-01,113209.0,42
A3247,2024,7,138823.0,BILBAO-Aireportua/Aeropuerto,2024-07-01,133743.0,43
A3247,2024,8,142793.0,BILBAO-Aireportua/Aeropuerto,2024-08-01,145608.0,44
A3247,2024,9,136340.0,BILBAO-Aireportua/Aeropuerto,2024-09-01,128236.0,45
A3247,2024,10,98501.0,BILBAO-Aireportua/Aeropuerto,2024-10-01,123379.0,46
A3247,2024,11,97222.0,BILBAO-Aireportua/Aeropuerto,2024-11-01,89510.0,47
A3247,2024,12,99780.0,BILBAO-Aireportua/Aeropuerto,2024-12-01,97074.0,48
A3247,2025,1,85369.0,BILBAO-Aireportua/Aeropuerto,2025-01-01,81941.0,49
A3247,2025,2,89352.0,BILBAO-Aireportua/Aeropuerto,2025-02-01,83167.0,50
A3247,2025,3,107641.0,BILBAO-Aireportua/Aeropuerto,2025-03-01,99078.0,51
A3247,2025,4,129031.0,BILBAO-Aireportua/Aeropuerto,2025-04-01,113147.0,52
A3247,2025,5,136679.0,BILBAO-Aireportua/Aeropuerto,2025-05-01,119611.0,53
A3247,2025,6,133060.0,BILBAO-Aireportua/Aeropuerto,2025-06-01,124934.0,54
A3247,2025,7,134767.0,BILBAO-Aireportua/Aeropuerto,2025-07-01,138823.0,55
A3247,2025,8,141678.0,BILBAO-Aireportua/Aeropuerto,2025-08-01,142793.0,56
A3247,2025,9,135795.0,BILBAO-Aireportua/Aeropuerto,2025-09-01,136340.0,57
A3247,2025,10,133316.0,BILBAO-Aireportua/Aeropuerto,2025-10-01,98501.0,58
A3247,2025,11,104918.0,BILBAO-Aireportua/Aeropuerto,2025-11-01,97222.0,59
A3247,2025,12,100881.0,BILBAO-Aireportua/Aeropuerto,2025-12-01,99780.0,60
A3527,2021,1,38093.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-01-01,52680.0,1
A3527,2021,2,40211.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-02-01,54358.0,2
A3527,2021,3,51527.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-03-01,24370.0,3
A3527,2021,4,45034.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-04-01,4122.0,4
A3527,2021,5,52838.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-05-01,11991.0,5
A3527,2021,6,53822.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-06-01,25328.0,6
A3527,2021,7,47912.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-07-01,28096.0,7
A3527,2021,8,37185.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-08-01,21351.0,8
A3527,2021,9,61129.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-09-01,35333.0,9
A3527,2021,10,67960.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-10-01,39855.0,10
A3527,2021,11,69555.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-11-01,29147.0,11
A3527,2021,12,60233.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2021-12-01,29662.0,12
A3527,2022,1,55971.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-01-01,38093.0,13
A3527,2022,2,65121.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-02-01,40211.0,14
A3527,2022,3,78610.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-03-01,51527.0,15
A3527,2022,4,63333.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-04-01,45034.0,16
A3527,2022,5,76148.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-05-01,52838.0,17
A3527,2022,6,69956.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-06-01,53822.0,18
A3527,2022,7,55997.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-07-01,47912.0,19
A3527,2022,8,51426.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-08-01,37185.0,20
A3527,2022,9,76064.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-09-01,61129.0,21
A3527,2022,10,82849.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-10-01,67960.0,22
A3527,2022,11,84697.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-11-01,69555.0,23
A3527,2022,12,77765.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2022-12-01,60233.0,24
A3527,2023,1,71648.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-01-01,55971.0,25
A3527,2023,2,69514.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-02-01,65121.0,26
A3527,2023,3,77860.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-03-01,78610.0,27
A3527,2023,4,58173.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-04-01,63333.0,28
A3527,2023,5,80437.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-05-01,76148.0,29
A3527,2023,6,76983.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-06-01,69956.0,30
A3527,2023,7,62306.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-07-01,55997.0,31
A3527,2023,8,5744.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-08-01,51426.0,32
A3527,2023,9,83400.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-09-01,76064.0,33
A3527,2023,10,92027.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-10-01,82849.0,34
A3527,2023,11,90466.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-11-01,84697.0,35
A3527,2023,12,81213.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2023-12-01,77765.0,36
A3527,2024,1,85503.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-01-01,71648.0,37
A3527,2024,2,88361.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-02-01,69514.0,38
A3527,2024,3,83792.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-03-01,77860.0,39
A3527,2024,4,88838.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-04-01,58173.0,40
A3527,2024,5,94636.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-05-01,80437.0,41
A3527,2024,6,82187.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-06-01,76983.0,42
A3527,2024,7,73939.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-07-01,62306.0,43
A3527,2024,8,58301.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-08-01,5744.0,44
A3527,2024,9,91884.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-09-01,83400.0,45
A3527,2024,10,92285.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-10-01,92027.0,46
A3527,2024,11,95561.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-11-01,90466.0,47
A3527,2024,12,89009.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2024-12-01,81213.0,48
A3527,2025,1,92358.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2025-01-01,85503.0,49
A3527,2025,2,93559.0,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),2025-02-01,88361.0,50
