año,mes,codigo_linea,linea,viajeros_total,creditrans,gizatrans,gazte_70,goro,ocasional,familia_numerosa,menores_6,empresa,fecha,flag_covid,flag_subsidio,expediciones_anuales,dias_servicio,expediciones_mes_est,ratio_saturacion,trimestre,mes_num,año_num,mes_sin,mes_cos,lag_1,lag_3,lag_12,rolling_mean_3,rolling_mean_6,rolling_mean_12
2020,1,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1999.0,1020.0,725.0,4.0,4.0,167.0,0.0,20.0,13.0,2020-01-01,1,0,,,,,1,1,2020,0.49999999999999994,0.8660254037844387,,,,,,
2020,2,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,2118.0,1092.0,735.0,11.0,2.0,211.0,0.0,13.0,7.0,2020-02-01,1,0,,,,,1,2,2020,0.8660254037844386,0.5000000000000001,1999.0,,,,,
2020,3,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1019.0,542.0,365.0,1.0,3.0,75.0,0.0,9.0,7.0,2020-03-01,1,0,,,,,1,3,2020,1.0,6.123233995736766e-17,2118.0,,,,,
2020,4,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,242.0,147.0,93.0,1.0,1.0,0.0,0.0,0.0,0.0,2020-04-01,1,0,,,,,2,4,2020,0.8660254037844387,-0.4999999999999998,1019.0,1999.0,,1712.0,,
2020,5,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,663.0,383.0,191.0,34.0,48.0,0.0,0.0,0.0,0.0,2020-05-01,1,0,,,,,2,5,2020,0.49999999999999994,-0.8660254037844387,242.0,2118.0,,1126.3333333333333,,
2020,6,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1163.0,761.0,373.0,2.0,0.0,0.0,0.0,10.0,4.0,2020-06-01,1,0,,,,,2,6,2020,1.2246467991473532e-16,-1.0,663.0,1019.0,,641.3333333333334,,
2020,7,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1357.0,911.0,385.0,1.0,0.0,0.0,0.0,10.0,21.0,2020-07-01,1,0,,,,,3,7,2020,-0.4999999999999997,-0.8660254037844388,1163.0,242.0,,689.3333333333334,1200.6666666666667,
2020,8,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1053.0,652.0,364.0,0.0,0.0,0.0,0.0,10.0,1.0,2020-08-01,1,0,,,,,3,8,2020,-0.8660254037844385,-0.5000000000000004,1357.0,663.0,,1061.0,1093.6666666666667,
2020,9,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1464.0,975.0,448.0,6.0,12.0,0.0,0.0,5.0,2.0,2020-09-01,1,0,,,,,3,9,2020,-1.0,-1.8369701987210297e-16,1053.0,1163.0,,1191.0,916.1666666666666,
2020,10,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1499.0,1046.0,412.0,18.0,6.0,0.0,0.0,3.0,1.0,2020-10-01,1,0,,,,,4,10,2020,-0.8660254037844386,0.5000000000000001,1464.0,1357.0,,1291.3333333333333,990.3333333333334,
2020,11,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1157.0,825.0,274.0,45.0,3.0,0.0,0.0,0.0,4.0,2020-11-01,1,0,,,,,4,11,2020,-0.5000000000000004,0.8660254037844384,1499.0,1053.0,,1338.6666666666667,1199.8333333333333,
2020,12,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1125.0,775.0,280.0,39.0,4.0,3.0,0.0,2.0,4.0,2020-12-01,1,0,,,,,4,12,2020,-2.4492935982947064e-16,1.0,1157.0,1464.0,,1373.3333333333333,1282.1666666666667,
2021,1,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1197.0,794.0,327.0,30.0,1.0,23.0,0.0,7.0,3.0,2021-01-01,1,0,16362.0,904.0,1363.5,0.8778877887788779,1,1,2021,0.49999999999999994,0.8660254037844387,1125.0,1499.0,1999.0,1260.3333333333333,1275.8333333333333,1238.25
2021,2,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1230.0,826.0,272.0,3.0,32.0,66.0,0.0,8.0,14.0,2021-02-01,1,0,16362.0,904.0,1363.5,0.9020902090209021,1,2,2021,0.8660254037844386,0.5000000000000001,1197.0,1157.0,2118.0,1159.6666666666667,1249.1666666666667,1171.4166666666667
2021,3,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1461.0,1027.0,344.0,16.0,2.0,49.0,0.0,5.0,6.0,2021-03-01,1,0,16362.0,904.0,1363.5,1.0715071507150715,1,3,2021,1.0,6.123233995736766e-17,1230.0,1125.0,1019.0,1184.0,1278.6666666666667,1097.4166666666667
2021,4,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1530.0,1025.0,349.0,17.0,37.0,79.0,0.0,11.0,4.0,2021-04-01,1,0,16362.0,904.0,1363.5,1.1221122112211221,2,4,2021,0.8660254037844387,-0.4999999999999998,1461.0,1197.0,242.0,1296.0,1278.1666666666667,1134.25
2021,5,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1631.0,1009.0,415.0,17.0,56.0,99.0,0.0,10.0,2.0,2021-05-01,1,0,16362.0,904.0,1363.5,1.196186285295196,2,5,2021,0.49999999999999994,-0.8660254037844387,1530.0,1230.0,663.0,1407.0,1283.3333333333333,1241.5833333333333
2021,6,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1886.0,1183.0,488.0,5.0,61.0,120.0,0.0,8.0,9.0,2021-06-01,1,0,16362.0,904.0,1363.5,1.3832049871653833,2,6,2021,1.2246467991473532e-16,-1.0,1631.0,1461.0,1163.0,1540.6666666666667,1362.3333333333333,1322.25
2021,7,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1629.0,1020.0,442.0,1.0,33.0,107.0,0.0,6.0,6.0,2021-07-01,1,0,16362.0,904.0,1363.5,1.1947194719471947,3,7,2021,-0.4999999999999997,-0.8660254037844388,1886.0,1530.0,1357.0,1682.3333333333333,1489.1666666666667,1382.5
2021,8,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1251.0,732.0,387.0,0.0,20.0,86.0,0.0,7.0,15.0,2021-08-01,1,0,16362.0,904.0,1363.5,0.9174917491749175,3,8,2021,-0.8660254037844385,-0.5000000000000004,1629.0,1631.0,1053.0,1715.3333333333333,1561.1666666666667,1405.1666666666667
2021,9,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1631.0,945.0,457.0,24.0,56.0,127.0,0.0,4.0,5.0,2021-09-01,1,0,16362.0,904.0,1363.5,1.196186285295196,3,9,2021,-1.0,-1.8369701987210297e-16,1251.0,1886.0,1464.0,1588.6666666666667,1564.6666666666667,1421.6666666666667
2021,10,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1795.0,990.0,544.0,26.0,54.0,119.0,0.0,15.0,16.0,2021-10-01,1,0,16362.0,904.0,1363.5,1.3164649798313164,4,10,2021,-0.8660254037844386,0.5000000000000001,1631.0,1629.0,1499.0,1503.6666666666667,1593.0,1435.5833333333333
2021,11,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1602.0,896.0,466.0,1.0,92.0,107.0,0.0,12.0,6.0,2021-11-01,1,0,16362.0,904.0,1363.5,1.174917491749175,4,11,2021,-0.5000000000000004,0.8660254037844384,1795.0,1251.0,1157.0,1559.0,1637.1666666666667,1460.25
2021,12,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1408.0,750.0,427.0,6.0,83.0,121.0,0.0,6.0,8.0,2021-12-01,1,0,16362.0,904.0,1363.5,1.0326365969930327,4,12,2021,-2.4492935982947064e-16,1.0,1602.0,1631.0,1125.0,1676.0,1632.3333333333333,1497.3333333333333
2022,1,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1162.0,652.0,343.0,2.0,66.0,74.0,0.0,10.0,5.0,2022-01-01,0,0,16384.0,904.0,1365.3333333333333,0.85107421875,1,1,2022,0.49999999999999994,0.8660254037844387,1408.0,1795.0,1197.0,1601.6666666666667,1552.6666666666667,1520.9166666666667
2022,2,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1552.0,823.0,444.0,4.0,109.0,105.0,0.0,31.0,13.0,2022-02-01,0,0,16384.0,904.0,1365.3333333333333,1.13671875,1,2,2022,0.8660254037844386,0.5000000000000001,1162.0,1602.0,1230.0,1390.6666666666667,1474.8333333333333,1518.0
2022,3,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1600.0,823.0,459.0,3.0,114.0,159.0,0.0,4.0,8.0,2022-03-01,0,0,16384.0,904.0,1365.3333333333333,1.171875,1,3,2022,1.0,6.123233995736766e-17,1552.0,1408.0,1461.0,1374.0,1525.0,1544.8333333333333
2022,4,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1320.0,685.0,372.0,1.0,89.0,114.0,0.0,9.0,9.0,2022-04-01,0,0,16384.0,904.0,1365.3333333333333,0.966796875,2,4,2022,0.8660254037844387,-0.4999999999999998,1600.0,1162.0,1530.0,1438.0,1519.8333333333333,1556.4166666666667
2022,5,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1687.0,918.0,463.0,4.0,104.0,124.0,0.0,25.0,13.0,2022-05-01,0,0,16384.0,904.0,1365.3333333333333,1.235595703125,2,5,2022,0.49999999999999994,-0.8660254037844387,1320.0,1552.0,1631.0,1490.6666666666667,1440.6666666666667,1538.9166666666667
2022,6,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1958.0,1127.0,595.0,0.0,39.0,148.0,0.0,11.0,5.0,2022-06-01,0,0,16384.0,904.0,1365.3333333333333,1.43408203125,2,6,2022,1.2246467991473532e-16,-1.0,1687.0,1600.0,1886.0,1535.6666666666667,1454.8333333333333,1543.5833333333333
2022,7,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1728.0,920.0,520.0,2.0,57.0,153.0,0.0,27.0,3.0,2022-07-01,0,0,16384.0,904.0,1365.3333333333333,1.265625,3,7,2022,-0.4999999999999997,-0.8660254037844388,1958.0,1320.0,1629.0,1655.0,1546.5,1549.5833333333333
2022,8,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1498.0,731.0,564.0,3.0,55.0,97.0,0.0,26.0,11.0,2022-08-01,0,0,16384.0,904.0,1365.3333333333333,1.09716796875,3,8,2022,-0.8660254037844385,-0.5000000000000004,1728.0,1687.0,1251.0,1791.0,1640.8333333333333,1557.8333333333333
2020,1,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),5671.0,3475.0,335.0,758.0,235.0,343.0,0.0,14.0,74.0,2020-01-01,1,0,,,,,1,1,2020,0.49999999999999994,0.8660254037844387,,,,,,
2020,2,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),9436.0,4867.0,354.0,2260.0,433.0,479.0,0.0,23.0,70.0,2020-02-01,1,0,,,,,1,2,2020,0.8660254037844386,0.5000000000000001,5671.0,,,,,
2020,3,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),4007.0,2013.0,140.0,1033.0,177.0,174.0,1.0,14.0,42.0,2020-03-01,1,0,,,,,1,3,2020,1.0,6.123233995736766e-17,9436.0,,,,,
2020,4,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),0.0,,,,,,,,,2020-04-01,1,0,,,,,2,4,2020,0.8660254037844387,-0.4999999999999998,4007.0,5671.0,,6371.333333333333,,
2020,5,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),0.0,,,,,,,,,2020-05-01,1,0,,,,,2,5,2020,0.49999999999999994,-0.8660254037844387,0.0,9436.0,,4481.0,,
