linea,fecha,año,mes,viajeros_pred
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-01-01,2026,1,2411.183892593999
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-02-01,2026,2,2862.4714402743134
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-03-01,2026,3,3167.837340008777
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-04-01,2026,4,2648.2117232555656
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-05-01,2026,5,3026.988019196613
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-06-01,2026,6,3403.2305240270407
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-07-01,2026,7,3059.3858942211127
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-08-01,2026,8,2657.767329964824
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-09-01,2026,9,3314.9228485356084
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-10-01,2026,10,3347.284327944499
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-11-01,2026,11,3041.525596777509
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-12-01,2026,12,2846.3223288658573
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-01-01,2026,1,8085.730026866621
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-02-01,2026,2,12970.7292504346
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-03-01,2026,3,11733.885803162331
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-04-01,2026,4,6705.978346896987
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-05-01,2026,5,9893.564837858934
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-06-01,2026,6,7042.646496008017
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-07-01,2026,7,1098.6438256658337
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-08-01,2026,8,143.63684840724696
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-09-01,2026,9,10896.867671070328
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-10-01,2026,10,14043.533576840478
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-11-01,2026,11,15083.310193391517
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-12-01,2026,12,8317.718782625745
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-01-01,2026,1,1080.7721024040752
