linea,fecha,año,mes,viajeros_pred_prophet,viajeros_pred_lower,viajeros_pred_upper
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-01-01,2026,1,2411.183892593999,1994.682508802952,2816.662050729255
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-02-01,2026,2,2862.4714402743134,2489.160719556553,3246.8609498742057
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-03-01,2026,3,3167.837340008777,2743.2990819916804,3566.632746924059
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-04-01,2026,4,2648.2117232555656,2234.7318039651504,3043.699268041412
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-05-01,2026,5,3026.988019196613,2633.173860907916,3438.0987901299177
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-06-01,2026,6,3403.2305240270407,3026.2200694195276,3818.411435363121
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-07-01,2026,7,3059.3858942211127,2641.233467855498,3463.846330939421
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-08-01,2026,8,2657.767329964824,2242.0967363583936,3059.010217734914
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-09-01,2026,9,3314.9228485356084,2919.5826381242205,3728.7485343700987
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-10-01,2026,10,3347.284327944499,2922.8979336576645,3754.888596840334
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-11-01,2026,11,3041.525596777509,2654.3893860587254,3455.7881528312178
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-12-01,2026,12,2846.3223288658573,2449.078645212993,3245.1072048074707
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-01-01,2026,1,8085.730026866621,6572.362428046013,9503.036941592112
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-02-01,2026,2,12970.7292504346,11506.041418526755,14504.17405746896
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-03-01,2026,3,11733.885803162331,10150.853602790441,13349.397480958994
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-04-01,2026,4,6705.978346896987,5132.852719769424,8196.785652431337
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-05-01,2026,5,9893.564837858934,8413.09167584463,11536.024912973517
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-06-01,2026,6,7042.646496008017,5400.00928538478,8520.987631952563
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-07-01,2026,7,1098.6438256658337,0.0,2678.5783721261096
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-08-01,2026,8,143.63684840724696,0.0,1704.6260657955424
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-09-01,2026,9,10896.867671070328,9185.403944857788,12550.8978943959
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-10-01,2026,10,14043.533576840478,12487.29296196882,15648.617331574464
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-11-01,2026,11,15083.310193391515,13447.443400930244,16725.683010887995
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-12-01,2026,12,8317.718782625745,6854.402013056875,9943.75855214594
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-01-01,2026,1,1080.7721024040752,698.9839173274161,1475.9616942060798
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-02-01,2026,2,1948.4608471428082,1543.381991984502,2369.410452570442
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-03-01,2026,3,1578.089731476648,1187.6519446134807,1961.5698481367947
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-04-01,2026,4,933.8344814114338,530.6683361133937,1338.170763831215
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-05-01,2026,5,1271.0201731838304,871.7183791660657,1649.5053970868278
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-06-01,2026,6,147.02905223797464,0.0,535.4500449762196
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-07-01,2026,7,39.68405816934109,0.0,427.81440001649787
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-08-01,2026,8,15.726921832620313,0.0,417.62976778292153
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-09-01,2026,9,1708.784650402343,1329.3651510946381,2095.1540792075016
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-10-01,2026,10,2243.918102559127,1868.4917574464496,2666.6681175114336
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-11-01,2026,11,2325.2368441984268,1927.296669808146,2719.0390614961716
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-12-01,2026,12,1132.20086402891,738.2272126781829,1543.0419273367047
Areeta/Las Arenas-LARRABETZU,2026-01-01,2026,1,16594.495022529685,14196.689077010487,18748.739141959413
Areeta/Las Arenas-LARRABETZU,2026-02-01,2026,2,18201.467207988935,15966.710938268907,20508.363833087824
Areeta/Las Arenas-LARRABETZU,2026-03-01,2026,3,18513.55002120982,16290.611557870481,20708.375611157826
Areeta/Las Arenas-LARRABETZU,2026-04-01,2026,4,14094.868158081757,11735.142846000885,16385.55924683102
Areeta/Las Arenas-LARRABETZU,2026-05-01,2026,5,19750.218533485877,17409.315592643256,22088.862223635162
Areeta/Las Arenas-LARRABETZU,2026-06-01,2026,6,19410.259391405078,17240.396990884667,21637.72638759828
Areeta/Las Arenas-LARRABETZU,2026-07-01,2026,7,18228.280933885286,15786.669974279363,20469.19512034697
Areeta/Las Arenas-LARRABETZU,2026-08-01,2026,8,14121.333297194105,11851.7647083448,16698.570031554384
Areeta/Las Arenas-LARRABETZU,2026-09-01,2026,9,21798.1520906565,19452.429087995682,23936.202719571596
Areeta/Las Arenas-LARRABETZU,2026-10-01,2026,10,22152.015857021634,19897.212565437592,24347.08252998137
Areeta/Las Arenas-LARRABETZU,2026-11-01,2026,11,21417.25759604104,19179.313745081872,23748.262607534078
Areeta/Las Arenas-LARRABETZU,2026-12-01,2026,12,16411.335359552424,13982.144282814377,18575.397136366963
Arrazola - DURANGO,2026-01-01,2026,1,14728.157703549696,12709.98394274088,16716.63965962801
Arrazola - DURANGO,2026-02-01,2026,2,15603.726687040426,13634.478712408636,17547.13834562094
Arrazola - DURANGO,2026-03-01,2026,3,17790.262105363727,15948.495634200499,19782.825888867752
Arrazola - DURANGO,2026-04-01,2026,4,14726.208086633977,12744.585651863723,16697.945055668963
Arrazola - DURANGO,2026-05-01,2026,5,16984.0159207534,15060.37075732681,19029.796696288002
Arrazola - DURANGO,2026-06-01,2026,6,16602.4006900115,14676.655555934018,18613.623667855194
Arrazola - DURANGO,2026-07-01,2026,7,14551.629043848843,12614.405306079141,16434.084237589195
Arrazola - DURANGO,2026-08-01,2026,8,10292.235991227457,8236.132359445457,12297.422965137695
Arrazola - DURANGO,2026-09-01,2026,9,18416.390497872133,16322.263569253593,20415.865702334482
Arrazola - DURANGO,2026-10-01,2026,10,20541.006191279037,18691.39259144155,22535.198350540606
Arrazola - DURANGO,2026-11-01,2026,11,19087.181897593426,17213.41370688067,21130.40153759731
Arrazola - DURANGO,2026-12-01,2026,12,18030.804010964803,16046.451817607438,19946.784609643837
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-01-01,2026,1,9768.89300761226,8586.421631939083,10963.03354656687
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-02-01,2026,2,11755.333309625845,10599.029205695824,13034.931622171282
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-03-01,2026,3,11592.436225282723,10328.662298179865,12894.97216819124
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-04-01,2026,4,8724.525210907392,7475.320127189399,9953.726549935238
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-05-01,2026,5,11348.137031339988,9971.367975269572,12596.58319985178
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-06-01,2026,6,9643.696117096999,8443.585547749264,10916.897756803739
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-07-01,2026,7,7365.786403077293,6075.91985922106,8641.580902442942
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-08-01,2026,8,6184.960831075862,4990.669852111406,7331.734154082565
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-09-01,2026,9,11659.02020278405,10410.994531425484,12945.105553697269
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-10-01,2026,10,12860.711401976212,11623.93495990345,14132.431468220077
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-11-01,2026,11,12814.75511426146,11565.673172877026,14066.634744581443
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-12-01,2026,12,9546.821434624146,8228.12539277578,10734.033165429579
