linea,fecha,año,mes,viajeros_pred_sarima
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-01-01,2026,1,809.3430819288878
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-02-01,2026,2,2371.400577605556
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-03-01,2026,3,2475.722256384391
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-04-01,2026,4,2377.684652654706
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-05-01,2026,5,2463.178058462585
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-06-01,2026,6,2724.9160225533687
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-07-01,2026,7,2380.2104515164287
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-08-01,2026,8,2131.1570905877534
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-09-01,2026,9,2562.3959438280613
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-10-01,2026,10,2665.8467238765243
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-11-01,2026,11,2483.0964752993277
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-12-01,2026,12,2187.9209153307957
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-01-01,2026,1,9333.740321968015
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-02-01,2026,2,12917.968274653407
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-03-01,2026,3,11743.951055039035
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-04-01,2026,4,9372.8160211077
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-05-01,2026,5,10794.956763859049
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-06-01,2026,6,8642.947305623607
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-07-01,2026,7,2739.417913134289
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-08-01,2026,8,1445.7917719598402
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-09-01,2026,9,11703.23559659683
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-10-01,2026,10,14270.29008308857
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-11-01,2026,11,13878.199361703266
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-12-01,2026,12,9519.60006661983
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-01-01,2026,1,1235.6205588377331
