linea,fecha,año,mes,viajeros_pred_xgb
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-01-01,2026,1,1194.7889404296875
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-02-01,2026,2,2246.880859375
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-03-01,2026,3,2358.05615234375
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-04-01,2026,4,2392.360595703125
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-05-01,2026,5,2583.6201171875
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-06-01,2026,6,1955.8804931640625
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-07-01,2026,7,1709.2890625
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-08-01,2026,8,1499.384033203125
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-09-01,2026,9,2293.7177734375
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-10-01,2026,10,2526.658935546875
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-11-01,2026,11,1967.2930908203125
ARTEA - ZEBERIO - UGAO MIRABALLES,2026-12-01,2026,12,1811.0048828125
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-01-01,2026,1,5206.669921875
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-02-01,2026,2,12062.4287109375
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-03-01,2026,3,11187.126953125
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-04-01,2026,4,10976.2666015625
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-05-01,2026,5,10339.9169921875
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-06-01,2026,6,7782.68212890625
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-07-01,2026,7,2804.105712890625
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-08-01,2026,8,1322.7662353515625
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-09-01,2026,9,10908.7001953125
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-10-01,2026,10,15873.0888671875
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-11-01,2026,11,15090.634765625
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),2026-12-01,2026,12,9637.38671875
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-01-01,2026,1,306.1468505859375
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-02-01,2026,2,1912.302490234375
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-03-01,2026,3,1686.9437255859375
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-04-01,2026,4,1738.23876953125
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-05-01,2026,5,1622.1572265625
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-06-01,2026,6,660.7728881835938
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-07-01,2026,7,1006.9022827148438
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-08-01,2026,8,800.2296142578125
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-09-01,2026,9,1704.819580078125
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-10-01,2026,10,2687.278564453125
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-11-01,2026,11,1985.397216796875
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),2026-12-01,2026,12,1188.82080078125
Areeta/Las Arenas-LARRABETZU,2026-01-01,2026,1,7839.69873046875
Areeta/Las Arenas-LARRABETZU,2026-02-01,2026,2,16407.041015625
Areeta/Las Arenas-LARRABETZU,2026-03-01,2026,3,18237.3125
Areeta/Las Arenas-LARRABETZU,2026-04-01,2026,4,19968.70703125
Areeta/Las Arenas-LARRABETZU,2026-05-01,2026,5,21128.826171875
Areeta/Las Arenas-LARRABETZU,2026-06-01,2026,6,20954.28125
Areeta/Las Arenas-LARRABETZU,2026-07-01,2026,7,18913.87890625
Areeta/Las Arenas-LARRABETZU,2026-08-01,2026,8,15583.494140625
Areeta/Las Arenas-LARRABETZU,2026-09-01,2026,9,21330.5703125
Areeta/Las Arenas-LARRABETZU,2026-10-01,2026,10,23367.748046875
Areeta/Las Arenas-LARRABETZU,2026-11-01,2026,11,22035.552734375
