año,codigo_linea,linea,expediciones_anuales,dias_servicio
2021,A0651,BILBAO - BALMASEDA,46167,909
2021,A0652,LANESTOSA - BALMASEDA,9946,909
2021,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,8736,624
2021,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,16222,624
2021,A2151,Areeta/Las Arenas - LARRABETZU,26274,909
2021,A2153,BILBAO - Txorierri - LARRABETZU,29239,909
2021,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,43543,909
2021,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),13468,518
2021,A2163,ERANDIO - UPV/EHU,1796,449
2021,A2164,Andramari/Santa Maria Getxo - UPV/EHU (Fadura),3143,449
2021,A2166,Uribe Kosta - UPV/EHU,5837,449
2021,A2312,Zabalburu - UPV/EHU  (Juan de Garay),9842,518
2021,A2314,BILBAO - Erandiogoikoa - UPV/EHU,27538,724
2021,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,12750,578
2021,A2316,SESTAO - UPV/EHU,4490,449
2021,A2318,Termibus - UPV/EHU (Autopista),38178,624
2021,A2321,Santutxu - UPV/EHU (Autopista),16850,887
2021,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,30266,909
2021,A2324,BILBAO - UPV/EHU (Enekuri),5388,449
2021,A2326,BARAKALDO - UPV/EHU,11453,524
2021,A2336,MUSKIZ - UPV/EHU,5165,524
2021,A2610,GALDAKAO - UPV/EHU,12426,524
2021,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,4490,449
2021,A3115,BILBAO - SANTURTZI,86384,909
2021,A3122,BILBAO - SESTAO - Errepelega/Repelega,30512,909
2021,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,104697,909
2021,A3135,SESTAO - Cabieces,110018,909
2021,A3136,BILBAO - BARAKALDO - SANTURTZI,73892,909
2021,A3137,BILBAO - BARAKALDO,56471,909
2021,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,52357,909
2021,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),51592,748
2021,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),47854,748
2021,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),28865,909
2021,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,25070,909
2021,A3225,BILBAO - LAUKIZ - MUNGIA,16748,909
2021,A3247,BILBAO - Aireportua/Aeropuerto,64420,909
2021,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),19976,624
2021,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,34748,909
2021,A3323,PORTUGALETE - GALDAMES,15038,909
2021,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,26986,909
2021,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,99736,909
2021,A3333,Gallarta - SANTURTZI,93424,909
2021,A3334,SANTURTZI - BALMASEDA,13296,909
