año,mes,codigo_linea,linea,viajeros_total,creditrans,gizatrans,gazte_70,goro,ocasional,familia_numerosa,menores_6,empresa,fecha,flag_covid,flag_subsidio
2020,1,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1999.0,1020.0,725.0,4.0,4.0,167.0,0.0,20.0,13.0,2020-01-01,1,0
2020,2,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,2118.0,1092.0,735.0,11.0,2.0,211.0,0.0,13.0,7.0,2020-02-01,1,0
2020,3,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1019.0,542.0,365.0,1.0,3.0,75.0,0.0,9.0,7.0,2020-03-01,1,0
2020,4,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,242.0,147.0,93.0,1.0,1.0,0.0,0.0,0.0,0.0,2020-04-01,1,0
2020,5,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,663.0,383.0,191.0,34.0,48.0,0.0,0.0,0.0,0.0,2020-05-01,1,0
2020,6,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1163.0,761.0,373.0,2.0,0.0,0.0,0.0,10.0,4.0,2020-06-01,1,0
2020,7,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1357.0,911.0,385.0,1.0,0.0,0.0,0.0,10.0,21.0,2020-07-01,1,0
2020,8,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1053.0,652.0,364.0,0.0,0.0,0.0,0.0,10.0,1.0,2020-08-01,1,0
2020,9,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1464.0,975.0,448.0,6.0,12.0,0.0,0.0,5.0,2.0,2020-09-01,1,0
2020,10,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1499.0,1046.0,412.0,18.0,6.0,0.0,0.0,3.0,1.0,2020-10-01,1,0
2020,11,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1157.0,825.0,274.0,45.0,3.0,0.0,0.0,0.0,4.0,2020-11-01,1,0
2020,12,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1125.0,775.0,280.0,39.0,4.0,3.0,0.0,2.0,4.0,2020-12-01,1,0
2021,1,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1197.0,794.0,327.0,30.0,1.0,23.0,0.0,7.0,3.0,2021-01-01,1,0
2021,2,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1230.0,826.0,272.0,3.0,32.0,66.0,0.0,8.0,14.0,2021-02-01,1,0
2021,3,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1461.0,1027.0,344.0,16.0,2.0,49.0,0.0,5.0,6.0,2021-03-01,1,0
2021,4,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1530.0,1025.0,349.0,17.0,37.0,79.0,0.0,11.0,4.0,2021-04-01,1,0
2021,5,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1631.0,1009.0,415.0,17.0,56.0,99.0,0.0,10.0,2.0,2021-05-01,1,0
